K,acc,auc
1,0.16735000000000003,0.566875615138829
2,0.29869999999999997,0.6352708353209494
3,0.38454999999999995,0.67996204211212
4,0.51475,0.7476945490561853
5,0.61085,0.7976596392084645
6,0.6469999999999999,0.8164638869342925
7,0.7024000000000001,0.8452543242727979
8,0.74875,0.8693556479322423
9,0.7991500000000001,0.8955421037818045
10,0.8015000000000001,0.8967654479620177
11,0.8411500000000002,0.9173827134991381
12,0.8415999999999999,0.9176133517558233
13,0.8423999999999999,0.9180338520927608
14,0.8797500000000001,0.9374671200439995
15,0.8812,0.9382189824102941
16,0.8835999999999998,0.939467432569803
